                                                                All Session       |      Unseen sessions       |      Seen sessions
                                                       Cdet  minCdet  EER   Error | Cdet  minCdet  EER   Error | Cdet  minCdet  EER   Error
xbenes49_xgrigo02_xnesme00 image-results               52.60  40.36  53.63  13.37 | 53.68  43.66  66.88  18.01 | 51.95  34.51  42.91  10.44
xbenes49_xgrigo02_xnesme00 results                     10.83   7.79  10.05   9.81 | 16.65   9.31  10.63  11.49 |  4.69   4.17   6.83   8.74
xbenes49_xgrigo02_xnesme00 sound-results               14.90   9.17  12.05  10.10 | 19.76  11.28  12.94  11.88 |  9.78   6.25  10.31   8.98
xcubae00                   results_face_gauss          42.12  37.38  51.72  34.18 | 68.83  43.01  69.85  44.83 | 14.71  11.72  17.78  27.43
xcubae00                   results_total               30.25  18.85  24.10  12.48 | 54.76  23.40  32.90  19.92 |  4.17   2.60   3.61   7.77
xcubae00                   results_voice_GMM            7.71   6.47   8.21   9.81 | 10.41   7.08   9.98  10.73 |  4.95   2.34   3.61   9.22
xjavor18_xmarus08          audio_convnet               52.11  44.16  44.85  12.48 | 52.38  44.39  53.29  15.71 | 51.95  34.47  35.70  10.44
xjavor18_xmarus08          image_convnet_from_deformed 23.28  10.07  12.05   4.01 | 45.00  17.23  23.35  10.34 |  0.00   0.00   0.00   0.00
xjavor18_xmarus08          image_convnet_from_original 25.94  25.86  51.72   4.61 | 50.22  50.00 100.00  11.88 |  0.00   0.00   0.00   0.00
xjurca08_xmicka12          audio_filter_banks          22.30  20.98  22.51  23.63 | 24.85  21.39  26.10  33.72 | 22.49  15.49  21.39  17.23
xjurca08_xmicka12          audio_gmm                    8.02   6.36   7.27  13.22 |  8.59   8.38  10.19  12.64 |  7.29   0.78   0.78  13.59
xjurca08_xmicka12          images_gmm                  30.41  26.84  51.72  12.78 | 55.19  43.23  69.42  20.69 |  4.17   0.78   0.78   7.77
xkadle35_xstepa59          result_audio                 7.79   2.57   3.43   2.82 |  5.28   3.83   3.83   4.21 | 10.97   0.91   2.70   1.94
xkadle35_xstepa59          result_combination           2.99   1.76   1.76   1.19 |  6.08   3.61   3.61   3.07 |  0.00   0.00   0.00   0.00
xkadle35_xstepa59          result_img                  19.81   8.91  12.05   6.24 | 38.25  12.49  19.31  13.79 |  0.78   0.13   0.13   1.46
xkaras34_xuzikv00_xsadil06 audio_GMM                    8.21   3.66   5.19  15.01 |  8.66   5.19   9.33  15.33 |  7.94   0.26   0.26  14.81
xkaras34_xuzikv00_xsadil06 face                        58.96  49.71  62.25  36.40 | 64.78  45.89  70.06  40.23 | 52.99  50.00  53.22  33.98
xkaras34_xuzikv00_xsadil06 neural_net_result           26.59  25.86  32.56   5.79 | 50.65  33.05  47.14  12.64 |  0.78   0.00   0.00   1.46
xkocij01_xzubal04          audio_results                4.70   3.14   4.78   4.31 |  7.01   5.41   6.80   7.28 |  2.96   1.17   2.96   2.43
xkocij01_xzubal04          image_results               26.11  17.32  18.99   4.90 | 50.43  22.25  26.54  12.26 |  0.13   0.00   0.00   0.24
xkolar71_xnguye16_xomach00 cnn                         27.59  10.28  13.81   4.75 | 46.67  16.26  20.17  10.73 |  7.14   1.69   3.48   0.97
xkolar71_xnguye16_xomach00 mixed_democracy             14.39   5.76   6.62   4.90 | 27.16   9.55   9.98   9.58 |  1.04   0.00   0.00   1.94
xkolar71_xnguye16_xomach00 mixed_voting                16.04   5.76   6.62   5.05 | 30.50   9.55   9.98  10.34 |  0.91   0.00   0.00   1.70
xkolar71_xnguye16_xomach00 mustache                    21.03  13.03  13.89   8.47 | 35.13  18.05  19.96  13.41 |  6.18   5.65   7.09   5.34
xkolar71_xnguye16_xomach00 speech                      12.36   5.51   5.51  22.59 | 14.07   6.36   6.58  24.90 | 11.33   4.65   6.44  21.12
xlessy00_xvozar04_xslavk01 image_linear_results        40.25  35.29  51.72  30.76 | 65.80  44.24  69.63  39.46 | 13.54   8.98  14.83  25.24
xlessy00_xvozar04_xslavk01 results_cnn                 51.99  46.04  51.72  39.38 | 55.78  43.27  50.11  44.83 | 49.07  47.14  53.61  35.92
xlessy00_xvozar04_xslavk01 results_speech               3.02   2.86   3.43   2.67 |  4.48   4.26   5.93   5.36 |  2.18   1.79   3.61   0.97
xlukac11_xchova19_xkusik00 audio_GMM                   14.69   8.08   8.62   4.01 | 11.52   6.36   6.58   4.98 | 18.38   8.04  10.70   3.40
xlukac11_xchova19_xkusik00 cnn_output                  27.59  27.47  31.05   4.75 | 50.00  45.80  60.09  11.49 |  3.57   2.31   3.61   0.49
xlukac11_xchova19_xkusik00 face_lbp_opencv_voice_mfcc   5.24   4.62   5.19   3.86 | 10.78   8.66   9.98   8.81 |  0.39   0.13   0.13   0.73
xlukac11_xchova19_xkusik00 face_lbp_voice_mfcc          7.59   6.46   6.86   8.17 | 11.86   9.18  10.19  10.73 |  3.52   1.56   3.35   6.55
xmisov00_xkosik07_xheind01 audio_fft_ctverce           26.66  15.90  22.26  15.90 | 25.19  15.74  19.96  13.79 | 27.46  15.12  18.43  17.23
xmisov00_xkosik07_xheind01 image_gradients_nn           8.54   7.89   8.62   8.47 | 13.53  10.76  13.38  11.11 |  3.65   2.08   3.61   6.80
xoberr00_xpazdi02_xpetru15 audio_data_process           5.79   5.09   5.27   7.73 |  7.88   5.41   9.55   8.81 |  3.78   1.95   3.61   7.04
xoberr00_xpazdi02_xpetru15 audioGMM                    24.33   7.12   8.94   5.94 | 26.88   4.98   7.01   6.51 | 21.21   7.38  10.17   5.58
xoberr00_xpazdi02_xpetru15 audioGMM_novelty            21.12  12.85  15.48  34.32 | 27.08  16.86  19.96  40.23 | 16.41   8.74  10.70  30.58
xoberr00_xpazdi02_xpetru15 imageCNN                     1.97   1.76   1.76   0.74 |  3.33   2.10   3.40   0.77 |  0.39   0.00   0.00   0.73
xsemri00_xjares00_xklemb00 audio_GMM_result2            8.91   5.82   8.29  14.86 | 10.32   7.51  10.63  15.71 |  7.68   2.83   3.61  14.32
xsemri00_xjares00_xklemb00 audio_GMM_result             6.15   5.90   8.46   9.81 |  7.51   7.29   9.98  10.73 |  4.95   3.09   3.61   9.22
xsemri00_xjares00_xklemb00 images_random_forest        26.72   8.38   8.62   4.61 | 48.33  12.01  16.56  11.11 |  3.57   0.26   0.26   0.49
xsemri00_xjares00_xklemb00 images_sgd_huberloss         4.39   4.39   8.62   0.89 |  6.88   6.88  13.38   1.92 |  1.79   1.79   3.61   0.24
xsemri00_xjares00_xklemb00 images_sgd_logloss          16.38  16.38  32.72   2.82 | 28.33  28.33  56.69   6.51 |  3.57   3.57   7.09   0.49
xskand01                   nn_image                    28.87  26.19  51.72   9.96 | 54.98  50.00 100.00  20.31 |  1.82   0.26   0.26   3.40
